Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1857-S7 (User should be able to select Yes on Cancel process),Chrome 99.0.4844.84,User should be able to select Yes on Cancel process,,2022-03-30 13:01:37,2022-03-30 13:01:38,0.725s,PASSED
return null,Chrome 99.0.4844.84,,,2022-03-30 13:01:38,2022-03-30 13:01:38,0.007s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1858-S7 (User should get error notification),Chrome 99.0.4844.84,User should get error notification upon clicking Save button when mandatory fields are empty,,2022-03-30 13:01:38,2022-03-30 13:01:38,0.576s,PASSED
return null,Chrome 99.0.4844.84,,,2022-03-30 13:01:38,2022-03-30 13:01:38,0.000s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1859-S7 (User should be able to click Save button),Chrome 99.0.4844.84,User should be able to click Save button,,2022-03-30 13:01:38,2022-03-30 13:01:39,0.447s,PASSED
return null,Chrome 99.0.4844.84,,,2022-03-30 13:01:39,2022-03-30 13:01:39,0.000s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1860-S7 (User should be able to select No on Save option),Chrome 99.0.4844.84,User should be able to select No on Save option,,2022-03-30 13:01:39,2022-03-30 13:01:39,0.458s,PASSED
return null,Chrome 99.0.4844.84,,,2022-03-30 13:01:39,2022-03-30 13:01:39,0.001s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1861-S7 (User should be able to select Yes on Save option),Chrome 99.0.4844.84,User should be able to select Yes on Save option,,2022-03-30 13:01:39,2022-03-30 13:01:40,0.743s,PASSED
return null,Chrome 99.0.4844.84,,,2022-03-30 13:01:40,2022-03-30 13:01:40,0.001s,PASSED
