Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-728 (Product Catalog Management - Search Products),Chrome 99.0.4844.84,Product Catalog Management: Search Products,,2022-03-30 15:25:41,2022-03-30 15:26:28,47.029s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1828-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.84,User should be able to Log in using Admin/Valid credentials,,2022-03-30 15:25:41,2022-03-30 15:25:58,16.733s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,,,2022-03-30 15:25:42,2022-03-30 15:25:48,5.225s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.84,,,2022-03-30 15:25:48,2022-03-30 15:25:50,2.457s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,,,2022-03-30 15:25:50,2022-03-30 15:25:50,0.301s,PASSED
delay(3),Chrome 99.0.4844.84,,,2022-03-30 15:25:50,2022-03-30 15:25:53,3.123s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 15:25:53,2022-03-30 15:25:54,0.990s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 15:25:54,2022-03-30 15:25:55,1.020s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 15:25:55,2022-03-30 15:25:57,1.311s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 15:25:57,2022-03-30 15:25:58,1.005s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.84,,,2022-03-30 15:25:58,2022-03-30 15:25:58,0.492s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1829-S7 (Click Product Catalog),Chrome 99.0.4844.84,User should be able to clicks Product Catalog option from the left navigation panel,,2022-03-30 15:25:58,2022-03-30 15:26:11,13.241s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-03-30 15:25:59,2022-03-30 15:26:09,10.598s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 15:26:09,2022-03-30 15:26:11,2.018s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1830-S7 (User should be able to fill search bar),Chrome 99.0.4844.84,User should be able to fill search bar,,2022-03-30 15:26:11,2022-03-30 15:26:18,6.724s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""), ""Automation Test Product"")",Chrome 99.0.4844.84,,,2022-03-30 15:26:12,2022-03-30 15:26:16,4.021s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 15:26:16,2022-03-30 15:26:18,2.012s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1831-S7 (User should be able to Search product on the Search button),Chrome 99.0.4844.84,User should be able to Search product on the  Search button,,2022-03-30 15:26:18,2022-03-30 15:26:21,2.943s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/Search Button""))",Chrome 99.0.4844.84,,,2022-03-30 15:26:19,2022-03-30 15:26:19,0.484s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 15:26:19,2022-03-30 15:26:21,2.009s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1832-S7 (User should be able to Search product using Enter button),Chrome 99.0.4844.84,User should be able to Search product using Enter button,,2022-03-30 15:26:21,2022-03-30 15:26:27,6.176s,PASSED
"clearText(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""))",Chrome 99.0.4844.84,,,2022-03-30 15:26:22,2022-03-30 15:26:22,0.419s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 15:26:22,2022-03-30 15:26:23,1.013s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""), ""Automation Test Product"")",Chrome 99.0.4844.84,,,2022-03-30 15:26:23,2022-03-30 15:26:24,0.828s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 15:26:24,2022-03-30 15:26:25,1.014s,PASSED
"sendKeys(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""), Keys.chord(ENTER))",Chrome 99.0.4844.84,,,2022-03-30 15:26:25,2022-03-30 15:26:25,0.422s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 15:26:25,2022-03-30 15:26:27,2.006s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1833-S7 (User is able to click Advance search button),Chrome 99.0.4844.84,User is able to click Advance search button,,2022-03-30 15:26:27,2022-03-30 15:26:28,0.486s,PASSED
return null,Chrome 99.0.4844.84,,,2022-03-30 15:26:28,2022-03-30 15:26:28,0.001s,PASSED
