Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-730 (Product Catalog Management - Add New Product),Chrome 99.0.4844.84,Product Catalog Management: Add New Product,,2022-03-30 17:56:34,2022-03-30 17:58:57,2m - 22.537s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1844-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.84,User should be able to Log in using Admin/Valid credentials,,2022-03-30 17:56:35,2022-03-30 17:56:51,15.938s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,,,2022-03-30 17:56:36,2022-03-30 17:56:41,4.915s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.84,,,2022-03-30 17:56:41,2022-03-30 17:56:43,2.142s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,,,2022-03-30 17:56:43,2022-03-30 17:56:44,0.592s,PASSED
delay(3),Chrome 99.0.4844.84,,,2022-03-30 17:56:44,2022-03-30 17:56:47,3.072s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 17:56:47,2022-03-30 17:56:48,0.981s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:56:48,2022-03-30 17:56:49,1.011s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 17:56:49,2022-03-30 17:56:50,0.871s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:56:50,2022-03-30 17:56:51,1.013s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.84,,,2022-03-30 17:56:51,2022-03-30 17:56:51,0.518s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1845-S7 (User should be able to click Product Catalog),Chrome 99.0.4844.84,User should be able to clicks Product Catalog option from the left navigation panel,,2022-03-30 17:56:51,2022-03-30 17:57:28,36.952s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-03-30 17:56:52,2022-03-30 17:57:26,34.263s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:57:26,2022-03-30 17:57:28,2.019s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1846-S7 (User is able to click Add new product button),Chrome 99.0.4844.84,User is able to click Add new product button,,2022-03-30 17:57:28,2022-03-30 17:57:34,6.044s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-730(NEW)/AddNewProduct/button_Add New Product""))",Chrome 99.0.4844.84,,,2022-03-30 17:57:29,2022-03-30 17:57:32,3.457s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:57:32,2022-03-30 17:57:34,2.015s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1847-S7 (User should be able to fill Product description field (mandatory)),Chrome 99.0.4844.84,User should be able to fill Product description field (mandatory),,2022-03-30 17:57:34,2022-03-30 17:57:37,3.245s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-730(NEW)/AddNewProduct/ProductDescription""), ""AT Test Description"")",Chrome 99.0.4844.84,,,2022-03-30 17:57:35,2022-03-30 17:57:35,0.801s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:57:35,2022-03-30 17:57:37,2.012s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1848-S7 (User should be able to fill Product Code field),Chrome 99.0.4844.84,FCSCMS- 1848	User should be able to fill Product Code field,,2022-03-30 17:57:37,2022-03-30 17:57:41,3.354s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-730(NEW)/AddNewProduct/ProductCode""), ""AT Test Code"")",Chrome 99.0.4844.84,,,2022-03-30 17:57:38,2022-03-30 17:57:39,0.762s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:57:39,2022-03-30 17:57:41,2.014s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1849-S7 (User should be able to fill Class field),Chrome 99.0.4844.84,User should be able to fill Class field,,2022-03-30 17:57:41,2022-03-30 17:57:43,2.254s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-730(NEW)/AddNewProduct/ProductClass""), ""AT Test Class"")",Chrome 99.0.4844.84,,,2022-03-30 17:57:41,2022-03-30 17:57:42,0.772s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:57:42,2022-03-30 17:57:43,1.010s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1850-S7 (User should be able to fill NMFC field),Chrome 99.0.4844.84,,,2022-03-30 17:57:43,2022-03-30 17:57:45,2.171s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-730(NEW)/AddNewProduct/Input_NMFC""), ""1234"")",Chrome 99.0.4844.84,,,2022-03-30 17:57:44,2022-03-30 17:57:44,0.712s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:57:44,2022-03-30 17:57:45,1.016s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1851-S7 (User should be able to select No on Hazmat option),Chrome 99.0.4844.84,User should be able to select No on Hazmat option,,2022-03-30 17:57:45,2022-03-30 17:57:47,1.470s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:57:46,2022-03-30 17:57:47,1.018s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1852-S7 (User should be able to select Yes on Hazmat option),Chrome 99.0.4844.84,User should be able to select Yes on Hazmat option,,2022-03-30 17:57:47,2022-03-30 17:57:49,2.156s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-730(NEW)/AddNewProduct/Hazmat_YES""))",Chrome 99.0.4844.84,,,2022-03-30 17:57:47,2022-03-30 17:57:48,0.494s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:57:48,2022-03-30 17:57:49,1.015s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1853-S7 (User should be able to fill UN-AN Number field),Chrome 99.0.4844.84,User should be able to fill UN/AN Number field,,2022-03-30 17:57:49,2022-03-30 17:57:51,2.196s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-730(NEW)/AddNewProduct/input_UN  NA Number""), ""1324"")",Chrome 99.0.4844.84,,,2022-03-30 17:57:49,2022-03-30 17:57:50,0.762s,PASSED
