Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-732 (Product Catalog Management - Delete Product),Chrome 99.0.4844.84,Product Catalog Management: Delete Product,,2022-04-04 18:04:54,2022-04-04 18:06:18,1m - 23.814s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 732/FCSCMS-1862-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.84,User should be able to Log in using Admin/Valid credentials,,2022-04-04 18:04:55,2022-04-04 18:05:08,13.344s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,,,2022-04-04 18:04:55,2022-04-04 18:04:59,3.074s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.84,,,2022-04-04 18:04:59,2022-04-04 18:05:01,2.115s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,,,2022-04-04 18:05:01,2022-04-04 18:05:01,0.217s,PASSED
delay(3),Chrome 99.0.4844.84,,,2022-04-04 18:05:01,2022-04-04 18:05:04,3.084s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-04-04 18:05:04,2022-04-04 18:05:05,0.902s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-04-04 18:05:05,2022-04-04 18:05:06,1.017s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-04-04 18:05:06,2022-04-04 18:05:07,0.964s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-04-04 18:05:07,2022-04-04 18:05:08,1.016s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.84,,,2022-04-04 18:05:08,2022-04-04 18:05:08,0.428s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 732/FCSCMS-1863-S7 (User should be able to clicks Product Catalog),Chrome 99.0.4844.84,User should be able to clicks Product Catalog option from the left navigation panel,,2022-04-04 18:05:08,2022-04-04 18:05:52,44.094s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-04-04 18:05:09,2022-04-04 18:05:46,37.516s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-04-04 18:05:46,2022-04-04 18:05:48,2.013s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-04-04 18:05:48,2022-04-04 18:05:52,4.140s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 732/FCSCMS-1864-S7 (User shoulb be able to click Delete button from the Grid),Chrome 99.0.4844.84,User shoulb be able to click Delete button from the Grid,,2022-04-04 18:05:52,2022-04-04 18:06:18,25.791s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-730(NEW)/AddNewProduct/button_Add New Product""))",Chrome 99.0.4844.84,,,2022-04-04 18:05:53,2022-04-04 18:05:54,0.982s,PASSED
