Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-729/Export/FileName(Export)""), ""Test Export"")",Chrome 99.0.4844.84,,,2022-03-30 17:55:36,2022-03-30 17:55:37,0.824s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:55:37,2022-03-30 17:55:39,2.013s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1811-S7 (User should be able to Select Cancel on export process),Chrome 99.0.4844.84,User should be able to Select Cancel on export process,,2022-03-30 17:55:39,2022-03-30 17:55:42,3.078s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Export/button_Cancel""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:40,2022-03-30 17:55:40,0.443s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:55:40,2022-03-30 17:55:42,2.020s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 729/FCSCMS-1812-S7 (User should be able to export product file upon clicking yes button),Chrome 99.0.4844.84,User should be able to Select Yes on export process and have the Excel copy of Product grid,,2022-03-30 17:55:42,2022-03-30 17:55:50,7.204s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Export(button)""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:43,2022-03-30 17:55:43,0.492s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:55:43,2022-03-30 17:55:45,2.009s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-729/Export/FileName(Export)""), ""Test Export"")",Chrome 99.0.4844.84,,,2022-03-30 17:55:45,2022-03-30 17:55:46,0.785s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 17:55:46,2022-03-30 17:55:47,1.006s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/Export/button_Download""))",Chrome 99.0.4844.84,,,2022-03-30 17:55:47,2022-03-30 17:55:48,0.421s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:55:48,2022-03-30 17:55:50,2.006s,PASSED
