Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"FCSCMS-10 (User, Role and Access Management User Login - Login Page)",Chrome 100.0.4896.75,,,2022-04-07 22:13:54,2022-04-07 22:15:24,1m - 29.169s,FAILED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-217,Chrome 100.0.4896.75,User should be able to fill username field,217,2022-04-07 22:13:55,2022-04-07 22:14:11,15.890s,PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-07 22:13:56,2022-04-07 22:14:04,7.140s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.75,,,2022-04-07 22:14:04,2022-04-07 22:14:06,2.703s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-07 22:14:06,2022-04-07 22:14:07,0.227s,PASSED
delay(3),Chrome 100.0.4896.75,,,2022-04-07 22:14:07,2022-04-07 22:14:10,3.121s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""anonymous"")",Chrome 100.0.4896.75,,,2022-04-07 22:14:10,2022-04-07 22:14:11,1.472s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-218,Chrome 100.0.4896.75,User should be able to fill password field,218,2022-04-07 22:14:11,2022-04-07 22:14:15,3.807s,PASSED
delay(1),Chrome 100.0.4896.75,,,2022-04-07 22:14:13,2022-04-07 22:14:14,1.016s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""anon"")",Chrome 100.0.4896.75,,,2022-04-07 22:14:14,2022-04-07 22:14:15,1.036s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-219,Chrome 100.0.4896.75,Password should be masked,219,2022-04-07 22:14:15,2022-04-07 22:14:18,2.561s,PASSED
"verifyElementPresent(findTestObject(""Login/Password_Field""), 0, STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-07 22:14:17,2022-04-07 22:14:18,0.909s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-220,Chrome 100.0.4896.75,User is able to hide or show the pasword,220,2022-04-07 22:14:18,2022-04-07 22:14:24,6.170s,PASSED
delay(1),Chrome 100.0.4896.75,,,2022-04-07 22:14:19,2022-04-07 22:14:20,1.010s,PASSED
"click(findTestObject(""Login/Eye_Icon""))",Chrome 100.0.4896.75,,,2022-04-07 22:14:20,2022-04-07 22:14:21,0.688s,PASSED
delay(2),Chrome 100.0.4896.75,,,2022-04-07 22:14:21,2022-04-07 22:14:23,2.009s,PASSED
"click(findTestObject(""Login/Eye_Icon""))",Chrome 100.0.4896.75,,,2022-04-07 22:14:23,2022-04-07 22:14:24,0.845s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-221,Chrome 100.0.4896.75,User is able to click Remember My Username button,221,2022-04-07 22:14:24,2022-04-07 22:14:30,6.252s,PASSED
delay(2),Chrome 100.0.4896.75,,,2022-04-07 22:14:26,2022-04-07 22:14:28,2.025s,PASSED
"click(findTestObject(""Login/RememberUser_Checkbox""))",Chrome 100.0.4896.75,,,2022-04-07 22:14:28,2022-04-07 22:14:29,0.620s,PASSED
delay(1),Chrome 100.0.4896.75,,,2022-04-07 22:14:29,2022-04-07 22:14:30,1.021s,PASSED
