Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/Class""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:06,2022-03-30 17:44:07,0.482s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:07,2022-03-30 17:44:09,2.010s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/Class 1/div_AT Test Class""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:09,2022-03-30 17:44:09,0.443s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:09,2022-03-30 17:44:11,2.004s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1836-S7 (Select NMFC),Chrome 99.0.4844.84,User should be able to Search/Select NMFC in Search Dropdown,,2022-03-30 17:44:11,2022-03-30 17:44:17,5.629s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/NMFC""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:12,2022-03-30 17:44:12,0.544s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:12,2022-03-30 17:44:14,2.008s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/NMFC 1/div_1122""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:14,2022-03-30 17:44:15,0.435s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:15,2022-03-30 17:44:17,2.008s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1837-S7 (Product Description),Chrome 99.0.4844.84,User should be able to Search/Select Product Description in Search Dropdown,,2022-03-30 17:44:17,2022-03-30 17:44:22,5.334s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/ProductDescription""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:17,2022-03-30 17:44:18,0.424s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:18,2022-03-30 17:44:20,2.009s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/Automation Test Product/div_Automation Test Product""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:20,2022-03-30 17:44:20,0.489s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:20,2022-03-30 17:44:22,2.010s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1838-S7 (User should be alble to select Hazmat option),Chrome 99.0.4844.84,User should be alble to select Hazmat option,,2022-03-30 17:44:22,2022-03-30 17:44:24,1.452s,FAILED
"selectOptionByValue(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/Hazmat""), ""Yes"", false)",Chrome 99.0.4844.84,,,2022-03-30 17:44:23,2022-03-30 17:44:23,0.962s,FAILED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1839-S7 (User should be able to fill Hazmat Description),Chrome 99.0.4844.84,User should be able to fill Hazmat Description,,2022-03-30 17:44:24,2022-03-30 17:44:27,3.360s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/Hazmat Description""), ""This is for Automation Purposes Only"")",Chrome 99.0.4844.84,,,2022-03-30 17:44:24,2022-03-30 17:44:25,0.904s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:25,2022-03-30 17:44:27,2.004s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1840-S7 (User should be alble to select UN-AN number),Chrome 99.0.4844.84,User should be alble to select UN/AN number,,2022-03-30 17:44:27,2022-03-30 17:44:32,5.323s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/UN-NA Number""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:27,2022-03-30 17:44:28,0.457s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:28,2022-03-30 17:44:30,2.011s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/UN NA/div_1122""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:30,2022-03-30 17:44:30,0.429s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:30,2022-03-30 17:44:32,2.018s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1841-S7 (User should be able to click Search button),Chrome 99.0.4844.84,User should be able to click Search button,,2022-03-30 17:44:32,2022-03-30 17:44:35,2.846s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/button_Search""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:33,2022-03-30 17:44:33,0.461s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:33,2022-03-30 17:44:35,2.012s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1842-S7 (User should be able to Search Product),Chrome 99.0.4844.84,User should be able to Search Product,,2022-03-30 17:44:35,2022-03-30 17:44:36,1.264s,FAILED
"verifyElementVisible(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/Automation Test Product/div_Automation Test Product""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:35,2022-03-30 17:44:36,0.849s,FAILED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1843-S7 (User should be able to click Clear button),Chrome 99.0.4844.84,User should be able to click Clear button,,2022-03-30 17:44:36,2022-03-30 17:44:39,2.922s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728(NEW)/Advance Search/button_Clear""))",Chrome 99.0.4844.84,,,2022-03-30 17:44:37,2022-03-30 17:44:37,0.452s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 17:44:37,2022-03-30 17:44:39,2.012s,PASSED
