Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"FCSCMS-10 (User, Role and Access Management User Login - Login Page)",Chrome 100.0.4896.75,,,2022-04-06 00:30:22,2022-04-06 00:38:26,8m - 4.147s,FAILED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-217,Chrome 100.0.4896.75,User should be able to fill username field,217,2022-04-06 00:30:22,2022-04-06 00:30:37,14.380s,PASSED
"openBrowser("""")",Chrome 100.0.4896.75,,,2022-04-06 00:30:24,2022-04-06 00:30:28,4.756s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 100.0.4896.75,,,2022-04-06 00:30:28,2022-04-06 00:30:32,3.576s,PASSED
maximizeWindow(),Chrome 100.0.4896.75,,,2022-04-06 00:30:32,2022-04-06 00:30:32,0.235s,PASSED
delay(3),Chrome 100.0.4896.75,,,2022-04-06 00:30:32,2022-04-06 00:30:35,3.096s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""anonymous"")",Chrome 100.0.4896.75,,,2022-04-06 00:30:35,2022-04-06 00:30:37,1.488s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-218,Chrome 100.0.4896.75,User should be able to fill password field,218,2022-04-06 00:30:37,2022-04-06 00:30:43,5.936s,PASSED
delay(1),Chrome 100.0.4896.75,,,2022-04-06 00:30:41,2022-04-06 00:30:42,1.018s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""anon"")",Chrome 100.0.4896.75,,,2022-04-06 00:30:42,2022-04-06 00:30:43,0.892s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-219,Chrome 100.0.4896.75,Password should be masked,219,2022-04-06 00:30:43,2022-04-06 00:30:44,1.452s,PASSED
"verifyElementPresent(findTestObject(""Login/Password_Field""), 0, STOP_ON_FAILURE)",Chrome 100.0.4896.75,,,2022-04-06 00:30:44,2022-04-06 00:30:44,0.505s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-220,Chrome 100.0.4896.75,User is able to hide or show the pasword,220,2022-04-06 00:30:44,2022-04-06 00:30:50,6.052s,PASSED
delay(1),Chrome 100.0.4896.75,,,2022-04-06 00:30:46,2022-04-06 00:30:47,1.017s,PASSED
"click(findTestObject(""Login/Eye_Icon""))",Chrome 100.0.4896.75,,,2022-04-06 00:30:47,2022-04-06 00:30:48,0.644s,PASSED
delay(2),Chrome 100.0.4896.75,,,2022-04-06 00:30:48,2022-04-06 00:30:50,2.024s,PASSED
"click(findTestObject(""Login/Eye_Icon""))",Chrome 100.0.4896.75,,,2022-04-06 00:30:50,2022-04-06 00:30:50,0.644s,PASSED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-221,Chrome 100.0.4896.75,User is able to click Remember My Username button,221,2022-04-06 00:30:50,2022-04-06 00:32:55,2m - 4.348s,FAILED
delay(2),Chrome 100.0.4896.75,,,2022-04-06 00:30:51,2022-04-06 00:30:53,2.008s,PASSED
"click(findTestObject(""Login/RememberUser_Checkbox""))",Chrome 100.0.4896.75,,,2022-04-06 00:30:53,2022-04-06 00:32:55,2m - 1.240s,FAILED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-222,Chrome 100.0.4896.75,Invalid login or incomplete requirements should have error notification or red flag,222,2022-04-06 00:32:55,2022-04-06 00:34:45,1m - 50.364s,FAILED
"clearText(findTestObject(""Login/Username_Field""))",Chrome 100.0.4896.75,,,2022-04-06 00:32:56,2022-04-06 00:34:45,1m - 49.557s,FAILED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-223,Chrome 100.0.4896.75,User is able to click Forgot password button,223,2022-04-06 00:34:45,2022-04-06 00:36:36,1m - 50.399s,FAILED
"click(findTestObject(""Login/Forgot_Password""))",Chrome 100.0.4896.75,,,2022-04-06 00:34:46,2022-04-06 00:36:36,1m - 49.586s,FAILED
,,,,,,,
Test Cases/Sprint 1/FCSCMS-10/FCSCMS-224,Chrome 100.0.4896.75,User is able to click Need assistance button,224,2022-04-06 00:36:36,2022-04-06 00:38:26,1m - 50.491s,FAILED
"verifyElementNotClickable(findTestObject(""Login/span_Need assistance""))",Chrome 100.0.4896.75,,,2022-04-06 00:36:36,2022-04-06 00:38:26,1m - 49.539s,FAILED
