Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-730 (Product Catalog Management - Add New Product),Chrome 99.0.4844.84,Product Catalog Management: Add New Product,,2022-03-30 14:08:05,2022-03-30 14:10:08,2m - 2.787s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1844-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.84,User should be able to Log in using Admin/Valid credentials,,2022-03-30 14:08:06,2022-03-30 14:08:22,15.597s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,,,2022-03-30 14:08:07,2022-03-30 14:08:12,4.881s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.84,,,2022-03-30 14:08:12,2022-03-30 14:08:14,2.058s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,,,2022-03-30 14:08:14,2022-03-30 14:08:14,0.291s,PASSED
delay(3),Chrome 99.0.4844.84,,,2022-03-30 14:08:14,2022-03-30 14:08:17,3.119s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 14:08:17,2022-03-30 14:08:18,1.012s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 14:08:18,2022-03-30 14:08:19,1.019s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 14:08:19,2022-03-30 14:08:20,0.885s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 14:08:20,2022-03-30 14:08:21,1.013s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.84,,,2022-03-30 14:08:21,2022-03-30 14:08:22,0.493s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 730/FCSCMS-1845-S7 (User should be able to click Product Catalog),Chrome 99.0.4844.84,User should be able to clicks Product Catalog option from the left navigation panel,,2022-03-30 14:08:22,2022-03-30 14:08:36,14.003s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-03-30 14:08:22,2022-03-30 14:08:34,11.284s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 14:08:34,2022-03-30 14:08:36,2.012s,PASSED
,,,,,,,
