Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FCSCMS-728 (Product Catalog Management - Search Products),Chrome 99.0.4844.84,Product Catalog Management: Search Products,,2022-03-30 15:28:08,2022-03-30 15:29:21,1m - 13.004s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1828-S7 (User should be able to Log in using Admin-Valid credentials),Chrome 99.0.4844.84,User should be able to Log in using Admin/Valid credentials,,2022-03-30 15:28:09,2022-03-30 15:28:25,16.091s,PASSED
"openBrowser("""")",Chrome 99.0.4844.84,,,2022-03-30 15:28:10,2022-03-30 15:28:15,5.041s,PASSED
"navigateToUrl(""https://nexterus-tst.outsystemsenterprise.com/FusionCenter/Login"")",Chrome 99.0.4844.84,,,2022-03-30 15:28:15,2022-03-30 15:28:17,2.310s,PASSED
maximizeWindow(),Chrome 99.0.4844.84,,,2022-03-30 15:28:17,2022-03-30 15:28:18,0.260s,PASSED
delay(3),Chrome 99.0.4844.84,,,2022-03-30 15:28:18,2022-03-30 15:28:21,3.115s,PASSED
"setText(findTestObject(""Login/Username_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 15:28:21,2022-03-30 15:28:22,1.015s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 15:28:22,2022-03-30 15:28:23,1.019s,PASSED
"setText(findTestObject(""Login/Password_Field""), ""admin"")",Chrome 99.0.4844.84,,,2022-03-30 15:28:23,2022-03-30 15:28:24,0.853s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 15:28:24,2022-03-30 15:28:25,1.023s,PASSED
"click(findTestObject(""Login/BTN_Login""))",Chrome 99.0.4844.84,,,2022-03-30 15:28:25,2022-03-30 15:28:25,0.522s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1829-S7 (Click Product Catalog),Chrome 99.0.4844.84,User should be able to clicks Product Catalog option from the left navigation panel,,2022-03-30 15:28:25,2022-03-30 15:29:05,39.761s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-729/a_Product Catalog""))",Chrome 99.0.4844.84,,,2022-03-30 15:28:26,2022-03-30 15:29:03,37.094s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 15:29:03,2022-03-30 15:29:05,2.019s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1830-S7 (User should be able to fill search bar),Chrome 99.0.4844.84,User should be able to fill search bar,,2022-03-30 15:29:05,2022-03-30 15:29:11,6.563s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""), ""Automation Test Product"")",Chrome 99.0.4844.84,,,2022-03-30 15:29:05,2022-03-30 15:29:09,4.020s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 15:29:09,2022-03-30 15:29:11,2.016s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1831-S7 (User should be able to Search product on the Search button),Chrome 99.0.4844.84,User should be able to Search product on the  Search button,,2022-03-30 15:29:11,2022-03-30 15:29:14,2.922s,PASSED
"click(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/Search Button""))",Chrome 99.0.4844.84,,,2022-03-30 15:29:12,2022-03-30 15:29:12,0.464s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 15:29:12,2022-03-30 15:29:14,2.002s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1832-S7 (User should be able to Search product using Enter button),Chrome 99.0.4844.84,User should be able to Search product using Enter button,,2022-03-30 15:29:14,2022-03-30 15:29:21,6.301s,PASSED
"clearText(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""))",Chrome 99.0.4844.84,,,2022-03-30 15:29:15,2022-03-30 15:29:15,0.445s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 15:29:15,2022-03-30 15:29:16,1.015s,PASSED
"setText(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""), ""Automation Test Product"")",Chrome 99.0.4844.84,,,2022-03-30 15:29:16,2022-03-30 15:29:17,0.825s,PASSED
delay(1),Chrome 99.0.4844.84,,,2022-03-30 15:29:17,2022-03-30 15:29:18,1.016s,PASSED
"sendKeys(findTestObject(""Admin/Sprint 7/FCSCMS-728/Advanced Search/SearchBar_ProductCatalog""), Keys.chord(ENTER))",Chrome 99.0.4844.84,,,2022-03-30 15:29:18,2022-03-30 15:29:19,0.437s,PASSED
delay(2),Chrome 99.0.4844.84,,,2022-03-30 15:29:19,2022-03-30 15:29:21,2.016s,PASSED
,,,,,,,
Test Cases/Sprint 7/FCSCMS- 728/FCSCMS-1833-S7 (User is able to click Advance search button),Chrome 99.0.4844.84,User is able to click Advance search button,,2022-03-30 15:29:21,2022-03-30 15:29:21,0.605s,PASSED
return null,Chrome 99.0.4844.84,,,2022-03-30 15:29:21,2022-03-30 15:29:21,0.001s,PASSED
